algorithm,enabled
StdSearch,true
Utf8Kmp,true
NaiveMixed,true
NaiveAuto,true
NaiveAvx2,true
NaiveAvx2V2,true
NaiveAvx512,true
NaiveAvx512V2,true
BM,true
TwoWay,true
TwoWay2,true
LibcMemmem,true
FftStr0,true
FftStr1,true
NaiveMixedWildcard,true
NaiveAutoWildcard,true
NaiveVectorizedWildcard,true
NaiveVectorizedV2Wildcard,true
NaiveAvx2Wildcard,true
NaiveAvx2V2Wildcard,true
NaiveAvx512Wildcard,true
NaiveAvx512V2Wildcard,true
NaiveWildcard,true
NaiveScalarWildcard,true
Dna2,true
Dna2PackedScalar,true
Dna2PackedVectorized,true
